new play session: 01-01-0001 0:00:00
00:00:00-Level 2 - World tutorials
00:00:17.1250000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:17.7656250-CIRCLE {X:430,0298 Y:601,88} SQUARE {X:1041,439 Y:197,7403}
00:00:18.1406250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:18.7812500-CIRCLE {X:313,5849 Y:493,0171} SQUARE {X:1203,869 Y:167,822}
00:00:19.1406250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:19.7812500-CIRCLE {X:235,2031 Y:411,6161} SQUARE {X:1203,888 Y:167,8221}
00:00:20.1562500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:20.7968750-CIRCLE {X:156,8349 Y:630,2101} SQUARE {X:1203,706 Y:167,8232}
00:00:21.1718750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:21.7968750-CIRCLE {X:138,5077 Y:680,277} SQUARE {X:1203,837 Y:167,8254}
00:00:22.1718750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:22.8125000-CIRCLE {X:136,0087 Y:720,0379} SQUARE {X:1204,058 Y:167,7881}
00:00:23.1875000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:23.8281250-CIRCLE {X:137,9712 Y:720,0236} SQUARE {X:1203,52 Y:167,7642}
00:00:24.2031250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:24.8281250-CIRCLE {X:136,4007 Y:720,0338} SQUARE {X:1203,744 Y:167,8671}
00:00:25.2031250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:25.8437500-CIRCLE {X:137,2451 Y:720,0687} SQUARE {X:1204,46 Y:167,6667}
00:00:26.2187500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:26.8593750-CIRCLE {X:137,3802 Y:720,0671} SQUARE {X:1204,202 Y:167,7555}
00:00:27.2187500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:27.8593750-CIRCLE {X:137,1663 Y:720,0942} SQUARE {X:1204,314 Y:167,7221}
00:00:28.2343750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:28.8750000-CIRCLE {X:137,0712 Y:720,064} SQUARE {X:1204,063 Y:167,838}
00:00:29.2500000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:29.8906250-CIRCLE {X:137,1603 Y:720,0767} SQUARE {X:1203,456 Y:167,7364}
00:00:30.2656250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:30.8906250-CIRCLE {X:136,9639 Y:720,089} SQUARE {X:1203,799 Y:167,8483}
00:00:31.2656250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:31.9062500-CIRCLE {X:136,9656 Y:720,0796} SQUARE {X:1204,585 Y:167,6494}
00:00:32.2812500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:32.9218750-CIRCLE {X:136,9737 Y:720,0751} SQUARE {X:1203,977 Y:167,8282}
00:00:33.2812500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:33.9218750-CIRCLE {X:137,0369 Y:720,0678} SQUARE {X:1203,775 Y:167,8078}
00:00:34.2968750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:34.9375000-CIRCLE {X:137,0692 Y:720,0786} SQUARE {X:1203,563 Y:167,7571}
00:00:35.3125000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:35.9531250-CIRCLE {X:137,0722 Y:720,0966} SQUARE {X:1203,391 Y:167,7298}
00:00:36.3281250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:36.9687500-CIRCLE {X:137,0458 Y:720,0955} SQUARE {X:1203,73 Y:167,8015}
00:00:37.3281250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:37.9687500-CIRCLE {X:137,0714 Y:720,0809} SQUARE {X:1203,861 Y:167,8505}
00:00:38.3437500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:38.9687500-CIRCLE {X:137,0585 Y:720,0687} SQUARE {X:1204,185 Y:167,7657}
00:00:39.3437500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:39.9843750-CIRCLE {X:137,058 Y:720,0788} SQUARE {X:1204,425 Y:167,7182}
00:00:40.3593750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:40.9843750-CIRCLE {X:137,0712 Y:720,0776} SQUARE {X:1204,078 Y:167,8353}
00:00:41.3593750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:42-CIRCLE {X:137,0544 Y:720,0781} SQUARE {X:1203,575 Y:167,7611}
00:00:42.3750000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:43-CIRCLE {X:137,069 Y:720,096} SQUARE {X:1203,78 Y:167,8283}
00:00:43.3750000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:44.0156250-CIRCLE {X:137,0459 Y:720,0815} SQUARE {X:1204,164 Y:167,7694}
00:00:44.3906250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:45.0156250-CIRCLE {X:137,0527 Y:720,0771} SQUARE {X:1203,997 Y:167,8133}
00:00:45.4062500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:46.0312500-CIRCLE {X:137,0464 Y:720,0836} SQUARE {X:1203,644 Y:167,7897}
00:00:46.4062500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:47.0468750-CIRCLE {X:137,0368 Y:720,077} SQUARE {X:1203,841 Y:167,8303}
00:00:47.4218750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:48.0468750-CIRCLE {X:137,0648 Y:720,0787} SQUARE {X:1203,556 Y:167,7718}
00:00:48.4218750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:49.0625000-CIRCLE {X:137,0774 Y:720,0786} SQUARE {X:1203,583 Y:167,7956}
00:00:49.4375000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:50.0781250-CIRCLE {X:137,0356 Y:720,0762} SQUARE {X:1203,838 Y:167,8457}
00:00:50.4531250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:51.0937500-CIRCLE {X:137,0359 Y:720,0787} SQUARE {X:1203,766 Y:167,8187}
00:00:51.4687500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:52.0937500-CIRCLE {X:137,0726 Y:720,0745} SQUARE {X:1203,738 Y:167,8181}
00:00:52.4687500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:53.1093750-CIRCLE {X:137,0561 Y:720,0854} SQUARE {X:1203,793 Y:167,8446}
00:00:53.4843750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:54.1250000-CIRCLE {X:137,0527 Y:720,0707} SQUARE {X:1203,853 Y:167,8499}
00:00:54.5000000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:55.1250000-CIRCLE {X:137,0629 Y:720,0636} SQUARE {X:1203,961 Y:167,8139}
00:00:55.5000000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:56.1406250-CIRCLE {X:137,0623 Y:720,0696} SQUARE {X:1203,852 Y:167,8548}
00:00:56.5156250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:57.1562500-CIRCLE {X:137,0343 Y:720,0837} SQUARE {X:1203,913 Y:167,8424}
00:00:57.5312500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:58.1718750-CIRCLE {X:137,0521 Y:720,0847} SQUARE {X:1204,133 Y:167,772}
00:00:58.5312500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:00:59.1718750-CIRCLE {X:137,0554 Y:720,1044} SQUARE {X:1204,014 Y:167,7973}
00:00:59.5468750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:00.1875000-CIRCLE {X:137,0584 Y:720,0635} SQUARE {X:1204,3 Y:167,7415}
00:01:00.5625000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:01.2031250-CIRCLE {X:137,0811 Y:720,1214} SQUARE {X:1204,537 Y:167,6685}
00:01:01.5781250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:02.2031250-CIRCLE {X:137,0651 Y:720,1225} SQUARE {X:1203,532 Y:167,7566}
00:01:02.5781250-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:03.2187500-CIRCLE {X:137,093 Y:720,0834} SQUARE {X:1203,679 Y:167,7995}
00:01:03.5937500-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:04.2343750-CIRCLE {X:137,0707 Y:720,0852} SQUARE {X:1203,877 Y:167,8385}
00:01:04.6093750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:05.2343750-CIRCLE {X:137,0904 Y:720,1216} SQUARE {X:1204,061 Y:167,8083}
00:01:05.6093750-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:06.2500000-CIRCLE {X:137,0926 Y:720,0648} SQUARE {X:1203,967 Y:167,8264}
00:01:06.6250000-CIRCLE {X:1145,438 Y:719,9974} SQUARE {X:491,8973 Y:710,0025}
00:01:07.2656250-CIRCLE {X:137,0525 Y:720,0648} SQUARE {X:1203,899 Y:167,8512}
